Vtot_V,Tmax_K,Tavg_K
0.0001,293.877163870913,293.87535998516
0.000125,294.286193548301,294.283374976813
0.00015,294.786118709554,294.78205996661
0.000175,295.37693935467,295.371414954553
0.0002,296.058655483651,296.05143994064
0.000225,296.831267096496,296.822134924873
0.00025,297.694774193205,297.683499907251
0.000275,298.649176773778,298.635534887774
0.0003,299.694474838215,299.678239866441
0.000325,300.830668386517,300.811614843254
0.00035,302.057757418682,302.035659818212
0.000375,303.375741934711,303.350374791315
0.0004,304.784621934605,304.755759762562
0.000425,306.284397418363,306.251814731955
0.00045,307.875068385985,307.838539699493
0.000475,309.55663483747,309.515934665176
0.0005,311.32909677282,311.283999629004
0.000525,313.192454192035,313.142734590977
0.00055,315.146707095113,315.092139551095
0.000575,317.191855482055,317.132214509358
0.0006,319.327899352861,319.262959465766
0.000625,321.554838707532,321.484374420319
0.00065,323.872673546067,323.796459373016
0.000675,326.281403868465,326.199214323859
0.0007,328.781029674728,328.692639272847
0.000725,331.371550964855,331.27673421998
0.00075,334.052967738846,333.951499165259
0.000775,336.825279996701,336.716934108682
0.0008,339.68848773842,339.57303905025
0.000825,342.642590964004,342.519813989963
0.00085,345.687589673451,345.557258927821
0.000875,348.823483866763,348.685373863824
0.0009,352.050273543938,351.904158797972
0.000925,355.367958704978,355.213613730265
0.00095,358.776539349882,358.613738660704
0.000975,362.27601547865,362.104533589287
0.001,365.866387091282,365.685998516015
