sigma_S_m,resistance_circuit_ohm,resistance_analytic_ohm
800,1.9895498020952,1.98943678864869
900,1.76848871297349,1.76838825657662
1000,1.59163984167616,1.59154943091895
1100,1.44694531061469,1.44686311901723
1200,1.32636653473012,1.32629119243246
