current_A,magnetic_flux_density_at_5cm_T
0.25,1.00402301390951e-06
0.5,2.00804602781902e-06
0.75,3.01206904172852e-06
1,4.01609205563803e-06
1.5,6.02413808345705e-06
2,8.03218411127607e-06
3,1.20482761669141e-05
4,1.60643682225521e-05
5,2.00804602781902e-05
