frequency_Hz,inductance_H,conductance_S
500,0.000114220613982919,0.0305130383705301
1000,0.000114203925138855,0.014687424185835
2000,0.000114193011324924,0.00717970156422873
5000,0.000114183551739602,0.00282477970194552
10000,0.000114178838136911,0.00140610569697901
20000,0.000114172342298676,0.000701764095629106
