Fc_uN,Ff_uN,theta_deg,max_v_Mises_Pa,max_disp_m,max_ep1
0.2,0.1,60,10446685.2680682,2.30384988601803e-06,0.00539980062083084
0.2,0.2,60,27385892.8900322,1.09694707465772e-05,0.0141239706495587
0.2,0.3,60,54147011.9128403,2.07457833391537e-05,0.0271484393170291
0.4,0.1,60,35034527.6429561,1.31906473004563e-05,0.0179636700516467
0.4,0.2,60,17476194.2344388,2.9257896840563e-06,0.00892645420115813
0.4,0.3,60,20400539.2048131,6.00888645094831e-06,0.0104103581459949
0.6,0.1,60,53327348.5142909,1.87100237191335e-05,0.0268757242449993
0.6,0.2,60,31793947.8443486,1.068113783475e-05,0.0164114870987519
0.6,0.3,60,25150065.9183486,3.24011633626241e-06,0.012714927246135
