Re,u_mid_upper_m_s,v_mid_upper_m_s,speed_mid_upper_m_s
50,-0.0170946884829804,0.0739782709096962,0.0759276823109894
100,0.0279817089734884,0.115397007542271,0.118741085504505
200,0.12005059297583,0.110594202156958,0.163227517363288
400,0.181108009215677,0.0739573263430095,0.195626677940081
800,0.204076138489886,0.0518192243785122,0.210552374282822
