DV_V,htc_s_W_m2K,htc_us_W_m2K,Tmax_K,umax_m,joule_power_W
4.5,15000,400,514.699605478837,1.09120086166711e-06,0.0114585345952399
4.5,20000,400,470.082573048495,9.11342349265947e-07,0.0118136484282473
4.5,25000,400,440.710897630584,7.85591815304286e-07,0.0120675606580887
5,15000,400,562.920323634016,1.32491723155422e-06,0.0136703649059402
5,20000,400,508.443748461442,1.10650514920396e-06,0.0141636780187507
5,25000,400,472.719344172386,9.54353387661868e-07,0.0145195332761971
5.5,15000,400,615.442695535516,1.57661319520553e-06,0.0159687167433295
5.5,20000,400,549.758167139612,1.31575831189402e-06,0.0166264822673924
5.5,25000,400,507.18637788805,1.13545514749058e-06,0.0171042291666382
