coil_current_mA,center_By_T
0.05,-1.12351533596816e-09
0.1,-2.24703067192186e-09
0.15,-3.37054600768882e-09
0.2,-4.49406134387261e-09
0.25,-5.61757667980465e-09
0.3,-6.7410920158089e-09
0.4,-8.98812268733972e-09
0.5,-1.12351533596815e-08
0.6,-1.34821840317853e-08
