voltage_V,potential_mid_V,electric_field_mid_V_m
50,15.0520073477992,43.468490310028
75,22.5780110216987,65.2027354650464
100,30.1040146955983,86.9369806200559
125,37.6300183694979,108.671225775083
150,45.1560220433975,130.405470930093
