incident_angle_deg,TE_reflectance,TM_reflectance
0,0.0400386880997993,0.0400429016038359
10,0.0416962346182002,0.0384105992023902
20,0.0471124540321586,0.0334810197339691
30,0.0578199974696878,0.0252658643370091
40,0.0771695741004143,0.0143107337787718
50,0.112037351722513,0.00326818085270529
54,0.133106686396047,0.000521853192223411
56,0.14578622687691,9.52287584187157e-06
58,0.160176829794646,0.000348340316907079
60,0.176530180467761,0.00181753821923427
65,0.228012975084739,0.013011603356967
70,0.299547341855757,0.0425767579914815
75,0.399323791991457,0.106880045006705
