bias_V,current_density_at_x_2_5um_A_m2
0.05,-0.000564622727786376
0.1,-0.00361285546895864
0.2,-0.144128154782441
0.3,-6.38557415280518
0.4,-287.522072101384
0.5,-11879.1987679724
