current_A,force_x_wire2_N
0.25,1.22287936546868e-08
0.5,4.89151746187474e-08
0.75,1.10059142892182e-07
1,1.9566069847499e-07
1.25,3.05719841367172e-07
1.5,4.40236571568727e-07
2,7.82642793899958e-07
2.5,1.22287936546868e-06
3,1.76094628627491e-06
