t_p_mm,t_m_mm,stiffness_ratio_1
10,10,0.380837163983055
10,12.5,0.436364257741491
10,15,0.487209417282117
11,10,0.401062934244206
11,12.5,0.456373011787183
11,15,0.508128941967221
12,10,0.419226161457297
12,12.5,0.475903880820392
12,15,0.531168056419113
