L_m,W_m,k_W_mK,T_hot_K,T_cold_K,Tmax_K,Tavg_K
0.12,0.0225,40,353.15,283.15,353.15,290.273578627869
0.112,0.0225,40,353.15,283.15,353.15,290.782429360118
0.128,0.0225,40,353.15,283.15,353.15,289.828337167779
